file_name	actual_word	tes_normal	tes_char_segmentation	
769.PNG	Advance	Adééhéé	Advéhéé	
770.PNG	upon	upon	upon	
771.PNG	the	the	the	
772.PNG	receipt	receipt	rweipt	
773.PNG	of	ol	ol	
774.PNG	written	written	written	
775.PNG	undertaking	ungerxakipg	unferﬁakipg	
776.PNG	by	:by	:by	
777.PNG	or	Of	Of	
778.PNG	on	Ol'l	Ol'l	
779.PNG	behalf	lbchaIfI	Ibchalf‘	
780.PNG	of	0f	of	
781.PNG	Indemnitee	Indemnitec	Indemnitec	
782.PNG	to	t0	t0	
783.PNG	repay	repay	repay	
784.PNG	such	such	such	
785.PNG	Expense	Expense	Expense	
786.PNG	Advance	Advance	Advance	
787.PNG	if	if	if	
788.PNG	a	.	.	
789.PNG	judgment	judgment	judgment	
790.PNG	or	Ol'	Ol'	
791.PNG	other	other	other	
792.PNG	final	ﬁnal	ﬁnal	
793.PNG	adjudication	adjudication	adjudication	
794.PNG	adverse	adverse	adverse	
795.PNG	to	IO	l0	
796.PNG	Indemnitee	Indemnitee	lndcmnitee	
797.PNG	as	35	.	
798.PNG	to	IO	IO	
799.PNG	which	which	whicﬁ	
800.PNG	all	all	all	
801.PNG	rights	rights	rights	
802.PNG	appeal	appeal	appeal	
803.PNG	therefrom	therefrom	therefrom	
804.PNG	have	have	have	
805.PNG	been	been	been	
806.PNG	exhausted	exhausted	exhausnd	
807.PNG	or	Ol’	Ol'	
808.PNG	lapsed	lapsed	lapsed	
809.PNG	establishes	establishes	establishes	
810.PNG	that	that	lhal	
811.PNG	Indemnitee	Indemnilee	Xndemnilee	
812.PNG	with	‘wilh	‘wilh	
813.PNG	respect	respect	respea	
814.PNG	to	[0	[0	
815.PNG	such	such	such	
816.PNG	Claim	Claim	Claim	
817.PNG	is	is	IS	
818.PNG	not	not	not	
819.PNG	eligible	:ligible	:ligibk	
820.PNG	for	for	for	
821.PNG	indemnification	indemniﬁcation	indemniﬁcation	
822.PNG	as	as	as	
823.PNG	a	I	I	
824.PNG	result	result	result	
825.PNG	of	of	of	
826.PNG	the	the	the	
827.PNG	Eligibility	Eligibility	Eligibility	
828.PNG	Exception	Exception	Exception	
829.PNG	In	IN	IN	
830.PNG	Witness	WITNESS	WITNESS	
831.PNG	WHEREOF	WHEREOF	WHEREOF	
832.PNG	and	and	and	
833.PNG	in	in	Ill	
834.PNG	reliance	reliance	reliance	
835.PNG	upon	upon	upon	
836.PNG	the	the	Ihe	
837.PNG	terms	terms	terms	
838.PNG	and	and	and	
839.PNG	conditions	conditions	conditions	
840.PNG	of	o!	o!	
841.PNG	this	this	this	
842.PNG	Agreement	Agreement	Agreement	
843.PNG	the	the	the	
844.PNG	parties	mes	nies	
845.PNG	hereto	hereto	hereto	
846.PNG	have	have	have	
847.PNG	executed	executed	executed	
848.PNG	and	and‘	and	
849.PNG	deliver1ed	deiivered	deiivered	
850.PNG	this	this	this	
851.PNG	Agreement	Agreement	Agreement	
854.PNG	the	the	the	
855.PNG	date	date	date	
856.PNG	set	sex!	sex!	
857.PNG	forth	fonh	forth	
858.PNG	above	above.	above.	
859.PNG	None-exclusivity	VNqn-exclwivily‘	Nqn-exclmivily	
860.PNG	Etc.	Etc.	Etc‘	
861.PNG	The	The	‘l'he	
862.PNG	rights	rights	rights	
863.PNG	of	of	of	
864.PNG	the	the	.	
865.PNG	Indemnitee	Indemnitee	lndemnitee	
866.PNG	hereunder	hereunder	hereunder	
867.PNG	shall	shall	shall	
868.PNG	be	.	.	
869.PNG	in	in	In	
870.PNG	addition	addition	addition	
871.PNG	to	IO	l0	
872.PNG	any	any	any	
873.PNG	other	other	other	
874.PNG	rights	rights	rights	
875.PNG	Indemnitee	lndemnilee	lndcmnilee	
876.PNG	may	may	my	
877.PNG	have	Inve'	IIIVE‘	
878.PNG	under	ﬁnder	ﬁnder	
879.PNG	the	the	Ihe	
880.PNG	Company�s	Company's	Company's	
881.PNG	Certificate	Certiﬁcate	Certiﬁcate	
882.PNG	of	of	of	
883.PNG	Incorporation	Incorporation	Incorporation	
884.PNG	or	O!	O!	
885.PNG	By-Laws	By-Laws	By-laws	
886.PNG	or	Ol'	Ol'	
887.PNG	the	the	the	
888.PNG	Delaware	Delaware‘	Delawue‘	
889.PNG	General	General	General	
890.PNG	Corporation	Corpornn'on	Corporation	
891.PNG	Law	|Law‘	ILaw	
892.PNG	or	0!	0!	
893.PNG	otherwise	otherwise	othsrwisc	
894.PNG	To	To	To	
895.PNG	the	the	the	
896.PNG	extent	extent	extent	
897.PNG	that	that	that	
898.PNG	a	NONE	NONE	
899.PNG	change	change	change	
900.PNG	in	II	II	
901.PNG	the	the	.	
902.PNG	Delaware	Delaware	Delaware	
903.PNG	General	General	General	
904.PNG	Corporation	Corporation	Corporation	
905.PNG	Law	[aw	Law	
906.PNG	whether	whether	whether	
907.PNG	by	by	.	
908.PNG	Statue	statute	statute	
909.PNG	or	0f	0f	
910.PNG	judicial	judicial	judicial	
911.PNG	decision	decision	decision	
912.PNG	permits	permits	permits	
913.PNG	greater	sr_c_atcr	sr_c_alcr	
914.PNG	indemnification	indemniﬁcation	indemniﬁcation	
915.PNG	by	by	by	
916.PNG	agreement	agreement	agreement	
917.PNG	than	than	lhan	
918.PNG	would	would	would	
919.PNG	be	.	.	
920.PNG	afforded	afforded	afforded	
921.PNG	currently	cunenfly	currengly	
922.PNG	under	under	under	
923.PNG	the	{he	the	
924.PNG	Company�s	Company's	Company's	
925.PNG	Certificate	Cehiﬁcate	Cehiﬁcate	
926.PNG	of	of?	.	
927.PNG	Incorporation	Incorpqraﬁon	ﬁnwrpqalion	
928.PNG	or	Ol‘	Ol‘	
929.PNG	By-Laws	By-Laws	By-laws	
930.PNG	and	and	and	
931.PNG	this	this	(his	
932.PNG	Agreement	Agreement	Agreement	
933.PNG	it	it	ll	
934.PNG	is	IS	IS	
935.PNG	the	the	the	
936.PNG	intent	rirntent	intent	
937.PNG	of	of	of	
938.PNG	the	(he	(he	
939.PNG	parties	panics	panics	
940.PNG	hereto	hereto	hereto	
941.PNG	that	that	that	
942.PNG	Indemnitee	lndemnitee	lndemnilee	
943.PNG	shall	shall	shall	
944.PNG	enjoy	enjoy	enjoy	
945.PNG	by	by	by	
946.PNG	this	this	this	
947.PNG	Agreement	Agreement	Agreement	
948.PNG	the	the	the	
949.PNG	greater	greater}	yealerl	
950.PNG	benefits	beneﬁls	beneﬁts	
951.PNG	so	$0	$0	
952.PNG	afforded	afforded	afforded	
953.PNG	by	by	by	
954.PNG	such	such‘	such‘	
955.PNG	change	change.	change.	
956.PNG	Basic	Bait	NONE	
957.PNG	Indemnification	Indemﬁun‘on	lndemmﬁuﬂ‘on	
958.PNG	Arrangement	Amucmem.	Armament	
959.PNG	In	.	[I	
960.PNG	the	me	me	
961.PNG	event	2V0!"	9V0!"	
962.PNG	Indemnitee	Indemnim	lndemninc	
963.PNG	was	WII-	WII-	
964.PNG	is	NONE	NONE	
965.PNG	or	.	.	
966.PNG	becomes	become.	become.	
967.PNG	a	II	II	
968.PNG	party	.	.	
969.PNG	to	.	..	
970.PNG	or	Of‘	0f	
971.PNG	witness	witnﬁa‘	Within	
972.PNG	or	OI'	.	
973.PNG	other	om	othu	
974.PNG	participant	Mei???	””55?!“	
975.PNG	in	NONE	NONE	
976.PNG	or	OI‘	.	
977.PNG	is	.	.	
978.PNG	threatened	thnmned	threatened	
979.PNG	to	NONE	.	
980.PNG	made	made	made	
981.PNG	a	I	I	
982.PNG	party	.	PW	
983.PNG	to	1°	(0	
984.PNG	or	0f	0f	
985.PNG	witness	vim»:	vim»:	
986.PNG	or	‘Ol‘	‘0!	
987.PNG	other	other	olhel	
988.PNG	participant	pamcnput	pamelpux	
989.PNG	in	Ill,	Ill.	
990.PNG	a	I‘	I‘	
991.PNG	Claim	Olin	Olin	
992.PNG	by	‘by	.	
993.PNG	reason	NONE	I'm	
994.PNG	of	of	.	
995.PNG	or	Of	Dl'	
996.PNG	arising	II'ISII‘	Irma;	
997.PNG	in	m	lﬂ	
998.PNG	Expenses	Expand	Elma	
999.PNG	expenses	expense:	expense:	
1001.PNG	including	moneys	moneys	
1002.PNG	attorneys	lea}	lea}	
1004.PNG	judgments	judgment;	judgment;	
1005.PNG	fines	ﬁne:	ﬁne:	
1006.PNG	and	and	and	
1007.PNG	amounts	Amounts	Amount:	
1008.PNG	paid	paid	paid	
1009.PNG	settlement	settlement	settlemm	
1010.PNG	actually	.I	.I	
1011.PNG	and	,.	,.	
1012.PNG	reasonably	mm	nmanbly	
1013.PNG	incurred	incurred	incurred	
1014.PNG	in	m	m	
1015.PNG	connection	iconnecu‘ou	comedian	
1016.PNG	with	with	with	
1017.PNG	investigating	investigating	invesﬁ'ln‘n'	
1018.PNG	defending	defgndin‘	defgndin‘	
1019.PNG	being	beini	beini	
1020.PNG	a	I	I	
1021.PNG	witness	witness	witness	
1023.PNG	or	Of	.	
1024.PNG	participating	_,Hm	madman	
1025.PNG	in	II	II	
1026.PNG	including	jincludiu	jincludinl	
1027.PNG	in	-.	-.	
1028.PNG	appeal	appeal]	appeal}	
1029.PNG	or	0f	u	
1030.PNG	preparing	preparing	prepurins	
1031.PNG	to	l0	IO	
1032.PNG	defend	deiend	deiend	
1033.PNG	be	.	.	
1034.PNG	a	NONE	NONE	
1035.PNG	witness	witness	Vilma	
1036.PNG	in	|ﬂ	|ﬂ	
1037.PNG	or	OI'	.	
1038.PNG	participate	pmicipatc	participate	
1039.PNG	in	III	III	
1040.PNG	any	my	“3‘	
1041.PNG	Claim	Olin	Olin	
1042.PNG	relating	relating	taming	
1043.PNG	to	..	..	
1044.PNG	any	“l"	any	
1045.PNG	indemnifiable	lndemm'ﬂablc	lndemm'ﬂablc	
1046.PNG	Event	Event	Even!	
1047.PNG	WHEREAS	WHEREAS	WHEREAS	
1048.PNG	in	NONE	NONE	
1049.PNG	recognition	recognilion	recognilion	
1050.PNG	of	of	of	
1051.PNG	Indemnitee's	lndemnitee‘s	lndemnilee's	
1052.PNG	need	need	need	
1053.PNG	for	for	for	
1054.PNG	substantial	substantial	substantial	
1055.PNG	protection	protedion	ptoledion	
1056.PNG	against	against	against	
1057.PNG	personal	personal	person“	
1058.PNG	liability	liability	liability	
1059.PNG	in	in	NONE	
1060.PNG	order	order	order	
1061.PNG	to	IO	I0	
1062.PNG	enhance	enhance	enhance	
1063.PNG	Indemnitee's	lEdemnitee's	lidemnilee's	
1064.PNG	continued	continued	continued	
1065.PNG	service	service	service	
1066.PNG	to	IO	lo	
1067.PNG	the	the	the	
1068.PNG	Company	Company	Company	
1069.PNG	in	III	III	
1070.PNG	an	NONE	NONE	
1071.PNG	effective	effective	effective	
1072.PNG	manner	manner	manna	
1073.PNG	and	Illa	Illa	
1074.PNG	Indemnitee's	lndemnitee's	lndemnitee's	
1075.PNG	reliance	reliance‘	reliance	
1076.PNG	on	OB	0B	
1077.PNG	the	the	the	
1078.PNG	aforesaid	Ilorcsaid	lloresaid	
1079.PNG	Certificate	Certiﬁcate	Certiﬁcate	
1080.PNG	of	of	..	
1081.PNG	Incorporation	Incorporation	Incorporation	
1082.PNG	and	and	and	
1083.PNG	in	in	In	
1084.PNG	part	pm	pm	
1085.PNG	to	IO	l0	
1086.PNG	provide	provide	provide	
1087.PNG	Indemnitee	lndgmnileg	lndgmnileg	
1088.PNG	with	with	With	
1089.PNG	specific	speciﬁc	speciﬁc	
1090.PNG	contractual	contractual	contractual	
1091.PNG	assurance	ISSUI’II‘ICM	ISSUIII‘IC“	
1092.PNG	that	lhal	lhal	
1093.PNG	the	1h:	the	
1094.PNG	protection	protection]	pmteclion	
1095.PNG	promised	promised	promised	
1096.PNG	by	by	by	
1097.PNG	such	such	such	
1098.PNG	Certificate	Cmiﬁcate	cm'mcm	
1099.PNG	of	o!	.	
1100.PNG	Incorporation	Incorporation	Incorporation	
1101.PNG	will	will	will	
1102.PNG	be	.	.	
1103.PNG	available	nvlilable	available	
1104.PNG	to	:Io‘	:lo	
1105.PNG	Indemnitee	lndemnixee	Indemnitee	
1106.PNG	regardless	(regardlest	(regardlen	
1107.PNG	of	of	.	
1108.PNG	among	among	Imon;	
1109.PNG	other	othe'r	othe'r	
1110.PNG	things	minp‘	lhinp‘	
1111.PNG	any	IF!	:py	
1112.PNG	amendment	amendment	amendment	
1113.PNG	to	lo	.	
1114.PNG	or	OI’I	01"	
1115.PNG	revocation	revocation	revocation	
1116.PNG	of	o!	o!	
1117.PNG	such	such	such	
1118.PNG	Certificate	Ceniﬂale	Ceniﬂclle	
1119.PNG	of	:0!	:0!	
1120.PNG	Incorporation	lncorpomion	lncorpou-nion	
1121.PNG	or	OI	OI	
1122.PNG	any	any4	any‘	
1123.PNG	change	chmge	chmge	
1124.PNG	in	NONE	NONE	
1125.PNG	the	mi	mi	
1126.PNG	composition	composition	composition	
1127.PNG	of	o!	.	
1128.PNG	the	the	the	
1129.PNG	Company�s	Company's	Company's	
1130.PNG	Board	{38.311	Iwa‘	
1131.PNG	of	o!	ol	
1132.PNG	Directors	Directors	Directors	
1133.PNG	or	0f	01	
1134.PNG	acquisition	acquisition	acquisilion	
1135.PNG	transaction	musaction	uansaction	
1136.PNG	relating	relating	relating	
1137.PNG	to	(O	(O	
1138.PNG	the	the	the	
1139.PNG	Company	Coinpany]	Coinvanyl	
1140.PNG	the	‘the	NONE	
1141.PNG	Company	Company	Company	
1142.PNG	wishes	me.	me.	
1143.PNG	tp	(O	(O	
1144.PNG	provide	provide	ptovide	
1145.PNG	in	NONE	Iﬂl	
1146.PNG	this	this	[his	
1147.PNG	Agreement	Agreement	Aycement	
1148.PNG	for	Io:	for	
1149.PNG	the	the]	the	
1150.PNG	indemnification	indemniﬁcation	indemniﬁalion	
1151.PNG	of	of	of	
1152.PNG	and	and	and	
1153.PNG	the	tie	lie	
1154.PNG	advancing	adundn.	advancing	
1155.PNG	of	0.!	0.!	
1156.PNG	expenses	expenses	313“”!	
1157.PNG	to	l0	l0	
1158.PNG	Indemnitee	lndemnilee	lndemnilee	
1159.PNG	to	l0	IO	
1160.PNG	the	the	the	
1161.PNG	fullest	fullest	fullest	
1162.PNG	extent	extent	¢l!¢n(	
1163.PNG	whether	WHCUICI'	whednt	
1164.PNG	partial	pmial	pnnial	
1165.PNG	or	Of	OI	
1166.PNG	complete	gompkte;	gompyetej	
1167.PNG	permitted	permitted	permitted	
1168.PNG	by	by	by	
1169.PNG	Delaware	Delaware	Delnwue	
1170.PNG	law	law	IIW	
1171.PNG	and	and	Ind	
1172.PNG	as	II	II	
1173.PNG	set	56'	NONE	
1174.PNG	forth	forth	lonh	
1175.PNG	in	in	HI	
1176.PNG	this	(his	mi:	
1177.PNG	Agreement	“rec_ment	\p‘eginenl	
1178.PNG	and	.md	.and	
1179.PNG	to	lo	lo	
1180.PNG	the	the	the	
1181.PNG	extent	CHEM	exlenl	
1182.PNG	insurance	insurance	insurance	
1183.PNG	is	iSl	5‘	
1184.PNG	maintained	majnuined.	majnuined‘	
1185.PNG	for	{or	{or	
1186.PNG	the	the	the	
1187.PNG	continued	continued	continued	
1188.PNG	coverage	coverage	coverage	
1189.PNG	of	3!	>1	
1190.PNG	Indemnitee	lndemnilee	lndemnilee	
1191.PNG	under	under	under	
1192.PNG	the	{he	{he	
1193.PNG	Company's	Company's	Company's	
1194.PNG	director's	direuors‘	directors'	
1195.PNG	and	and	and	
1196.PNG	officers'	ofﬁcets'	ofﬁws'	
1197.PNG	liability	liability	liability	
1198.PNG	insurance	insuranu	insunm	
1199.PNG	policies	policies	policies	
